location,date,new_cases
Camarines Sur,2020-03-22,0
Camarines Sur,2020-03-23,0
Camarines Sur,2020-03-24,0
Camarines Sur,2020-03-25,0
Camarines Sur,2020-03-26,0
Camarines Sur,2020-03-27,1
Camarines Sur,2020-03-28,0
Camarines Sur,2020-03-29,0
Camarines Sur,2020-03-30,0
Camarines Sur,2020-03-31,0
Camarines Sur,2020-04-01,1
Camarines Sur,2020-04-02,1
Camarines Sur,2020-04-03,0
Camarines Sur,2020-04-04,0
Camarines Sur,2020-04-05,0
Camarines Sur,2020-04-06,2
Camarines Sur,2020-04-07,1
Camarines Sur,2020-04-08,0
Camarines Sur,2020-04-09,0
Camarines Sur,2020-04-10,0
Camarines Sur,2020-04-11,0
Camarines Sur,2020-04-12,0
Camarines Sur,2020-04-13,0
Camarines Sur,2020-04-14,0
Camarines Sur,2020-04-15,0
Camarines Sur,2020-04-16,0
Camarines Sur,2020-04-17,0
Camarines Sur,2020-04-18,0
Camarines Sur,2020-04-19,0
Camarines Sur,2020-04-20,0
Camarines Sur,2020-04-21,0
Camarines Sur,2020-04-22,1
Camarines Sur,2020-04-23,1
Camarines Sur,2020-04-24,0
Camarines Sur,2020-04-25,0
Camarines Sur,2020-04-26,0
Camarines Sur,2020-04-27,0
Camarines Sur,2020-04-28,0
Camarines Sur,2020-04-29,0
Camarines Sur,2020-04-30,1
Camarines Sur,2020-05-01,0
Camarines Sur,2020-05-02,0
Camarines Sur,2020-05-03,0
Camarines Sur,2020-05-04,0
Camarines Sur,2020-05-05,0
Camarines Sur,2020-05-06,0
Camarines Sur,2020-05-07,0
Camarines Sur,2020-05-08,0
Camarines Sur,2020-05-09,0
Camarines Sur,2020-05-10,1
Camarines Sur,2020-05-11,0
Camarines Sur,2020-05-12,1
Camarines Sur,2020-05-13,0
Camarines Sur,2020-05-14,0
Camarines Sur,2020-05-15,1
Camiguin,2020-04-07,1
Capiz,2020-03-25,1
Capiz,2020-03-26,0
Capiz,2020-03-27,0
Capiz,2020-03-28,0
Capiz,2020-03-29,0
Capiz,2020-03-30,0
Capiz,2020-03-31,0
Capiz,2020-04-01,0
Capiz,2020-04-02,2
Capiz,2020-04-03,0
Capiz,2020-04-04,0
Capiz,2020-04-05,0
Capiz,2020-04-06,0
Capiz,2020-04-07,0
Capiz,2020-04-08,0
Capiz,2020-04-09,0
Capiz,2020-04-10,1
Capiz,2020-04-11,0
Capiz,2020-04-12,0
Capiz,2020-04-13,0
Capiz,2020-04-14,0
Capiz,2020-04-15,0
Capiz,2020-04-16,0
Capiz,2020-04-17,1
Catanduanes,2020-04-20,1
Cavite,2020-03-09,1
Cavite,2020-03-10,0
Cavite,2020-03-11,0
Cavite,2020-03-12,0
Cavite,2020-03-13,0
Cavite,2020-03-14,2
Cavite,2020-03-15,2
Cavite,2020-03-16,0
Cavite,2020-03-17,2
Cavite,2020-03-18,1
Cavite,2020-03-19,0
Cavite,2020-03-20,0
Cavite,2020-03-21,3
Cavite,2020-03-22,1
Cavite,2020-03-23,4
Cavite,2020-03-24,2
Cavite,2020-03-25,2
Cavite,2020-03-26,3
Cavite,2020-03-27,3
Cavite,2020-03-28,13
Cavite,2020-03-29,8
Cavite,2020-03-30,2
Cavite,2020-03-31,19
Cavite,2020-04-01,8
Cavite,2020-04-02,10
Cavite,2020-04-03,11
Cavite,2020-04-04,3
Cavite,2020-04-05,2
Cavite,2020-04-06,16
Cavite,2020-04-07,5
Cavite,2020-04-08,2
Cavite,2020-04-09,8
Cavite,2020-04-10,4
Cavite,2020-04-11,16
Cavite,2020-04-12,8
Cavite,2020-04-13,10
Cavite,2020-04-14,5
Cavite,2020-04-15,7
Cavite,2020-04-16,13
Cavite,2020-04-17,3
Cavite,2020-04-18,14
Cavite,2020-04-19,6
Cavite,2020-04-20,1
Cavite,2020-04-21,1
Cavite,2020-04-22,1
Cavite,2020-04-23,3
Cavite,2020-04-24,12
Cavite,2020-04-25,2
Cavite,2020-04-26,14
Cavite,2020-04-27,3
